GCCSA_NAME21	persons
No usual address (NSW)	11371
Greater Sydney	5231147
Rest of NSW	2829637
No usual address (Vic.)	9089
Migratory - Offshore - Shipping (Vic.)	38
Greater Melbourne	4917750
Rest of Vic.	1576613
No usual address (Qld)	14670
Migratory - Offshore - Shipping (Qld)	183
Greater Brisbane	2526238
Rest of Qld	2615036
No usual address (SA)	3377
Migratory - Offshore - Shipping (SA)	12
Greater Adelaide	1387290
Rest of SA	390843
No usual address (WA)	8055
Migratory - Offshore - Shipping (WA)	514
Greater Perth	2116647
Rest of WA	534804
No usual address (Tas.)	1377
Migratory - Offshore - Shipping (Tas.)	19
Greater Hobart	247086
Rest of Tas.	309087
No usual address (NT)	3500
Migratory - Offshore - Shipping (NT)	99
Greater Darwin	139902
Rest of NT	89103
No usual address (ACT)	605
Australian Capital Territory	453890
No usual address (OT)	11
Other Territories	4778
