GCCSA_NAME21	medianRent
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Greater Sydney	24440
Rest of NSW	17160
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Greater Melbourne	20280
Rest of Vic.	14820
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Greater Brisbane	19760
Rest of Qld	17940
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Greater Adelaide	16640
Rest of SA	11440
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Greater Perth	18200
Rest of WA	13780
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Greater Hobart	18200
Rest of Tas.	13000
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Greater Darwin	20020
Rest of NT	7800
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Australian Capital Territory	23400
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
Other Territories	10400
