SA4_NAME16	medianMortgageRepayment
Capital Region	20796
Central Coast	24000
Central West	18204
Coffs Harbour - Grafton	19140
Far West and Orana	15600
Hunter Valley exc Newcastle	20796
Illawarra	26004
Mid North Coast	18252
Murray	15600
New England and North West	16332
Newcastle and Lake Macquarie	23400
Richmond - Tweed	20796
Riverina	16644
Southern Highlands and Shoalhaven	21840
Sydney - Baulkham Hills and Hawkesbury	34860
Sydney - Blacktown	28596
Sydney - City and Inner South	32400
Sydney - Eastern Suburbs	39576
Sydney - Inner South West	27600
Sydney - Inner West	33360
Sydney - North Sydney and Hornsby	36000
Sydney - Northern Beaches	37488
Sydney - Outer South West	26004
Sydney - Outer West and Blue Mountains	26004
Sydney - Parramatta	26400
Sydney - Ryde	32040
Sydney - South West	26400
Sydney - Sutherland	31416
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	17160
Bendigo	17424
Geelong	20796
Hume	17160
Latrobe - Gippsland	16116
Melbourne - Inner	26004
Melbourne - Inner East	30000
Melbourne - Inner South	28800
Melbourne - North East	24000
Melbourne - North West	23088
Melbourne - Outer East	24000
Melbourne - South East	23556
Melbourne - West	22800
Mornington Peninsula	22800
North West	13176
Shepparton	15600
Warrnambool and South West	15600
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	24000
Brisbane - North	23640
Brisbane - South	24000
Brisbane - West	26004
Brisbane Inner City	26400
Cairns	18204
Darling Downs - Maranoa	15600
Central Queensland	18204
Gold Coast	23400
Ipswich	19200
Logan - Beaudesert	20796
Mackay - Isaac - Whitsunday	20544
Moreton Bay - North	20796
Moreton Bay - South	22800
Queensland - Outback	15600
Sunshine Coast	22884
Toowoomba	18204
Townsville	18204
Wide Bay	15600
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	22356
Adelaide - North	16896
Adelaide - South	19080
Adelaide - West	20544
Barossa - Yorke - Mid North	14160
South Australia - Outback	13884
South Australia - South East	13620
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	19680
Mandurah	20796
Perth - Inner	30000
Perth - North East	22356
Perth - North West	23400
Perth - South East	21600
Perth - South West	22800
Western Australia - Wheat Belt	16836
Western Australia - Outback (North)	23400
Western Australia - Outback (South)	18204
Migratory - Offshore - Shipping (WA)	20796
No usual address (WA)	
Hobart	18204
Launceston and North East	15600
South East	15600
West and North West	14400
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	25200
Northern Territory - Outback	20796
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	24960
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	15600
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
